event_number,particle_id,is_vertex,d0,phi0,q/pT,z0,theta,P00,P01,P02,P03,P04,P10,P11,P12,P13,P14,P20,P21,P22,P23,P24,P30,P31,P32,P33,P34,P40,P41,P42,P43,P44,K00,K01,K10,K11,K20,K21,K30,K31,K40,K41
1000,4507447918067712,1,0.007504240970845899,1.7391774999332617,-0.00013555468691618514,-0.07552964944855148,-0.2083021429700597,0.04,0.0,0.0,0.0,0.0,0.0,6.7e-06,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,7e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000,4507447918067712,0,-0.13435921090376723,1.743568017527395,-0.00013555468691618514,-0.07587603065971393,-0.2083021429700597,0.04,0.0,0.0,0.0,0.0,0.0,6.7e-06,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,7e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000,4507447918067712,0,-0.18127005794505655,1.7430098210030738,-0.00015781783033433898,-0.07587603065971565,-0.2083021429700597,0.02772132078316039,-0.00015801323883627455,-0.010503329709508643,0.0,0.0,-0.00015801323883627452,4.919799366017515e-06,-0.0001249856145135255,0.0,0.0,-0.010503329709508647,-0.0001249856145135255,0.01269556255264071,0.0,0.0,0.0,0.0,0.0,0.038792020667074885,0.0005168370693680461,0.0,0.0,0.0,0.000516837069368046,6.903762128691123e-06,23.23639509548113,0.0,0.2765000932327182,0.0,0.0055134663906276585,0.0,0.0,0.9722914138092323,0.0,0.0003851875125237856
1000,4507447918067712,0,-0.16100912043872076,1.74306116326422,-0.00016931738886570398,-0.07587603065971565,-0.2083021429700597,0.016223272722186,-0.00018968337175217896,0.0013181595268502145,0.0,0.0,-0.00018968337175217901,4.939544437720874e-06,-9.50417610282332e-05,0.0,0.0,0.0013181595268502145,-9.504176102823319e-05,0.0025150001531344763,0.0,0.0,0.0,0.0,0.0,0.0894640575547089,0.000734750202073613,0.0,0.0,0.0,0.0007347502020736131,6.041100579148042e-06,-44.76318243971927,0.0,-0.11343444330917674,0.0,0.012703322035182494,0.0,0.0,0.6498470415903816,0.0,0.0029953525608061075
1000,4507447918067712,0,-0.16333752435953708,1.7429562566989432,-0.00016322463221036103,-0.07587603065971565,-0.2083021429700597,0.017102541171118583,-0.0001951219550628814,0.0018446885045522213,0.0,0.0,-0.00019512195506288146,4.794503946418915e-06,-7.133229965162437e-05,0.0,0.0,0.0018446885045522233,-7.133229965162438e-05,0.0012198255476719368,0.0,0.0,0.0,0.0,0.0,0.1628414568335269,0.0009058222654891249,0.0,0.0,0.0,0.0009058222654891249,5.041822143215372e-06,-5.57898234880261,0.0,-0.2513599606115358,0.0,0.007298917210268182,0.0,0.0,0.4636938618267219,0.0,0.0031088984871459483
1000,4507447918067712,0,-0.16112399236646766,1.7427844742422935,-0.00015526467810415723,-0.07587603065971565,-0.2083021429700597,0.01805701550529213,-0.00019159324771593272,0.001572307068209028,0.0,0.0,-0.00019159324771593272,4.620682208887608e-06,-5.0191906515121426e-05,0.0,0.0,0.0015723070682090283,-5.019190651512143e-05,0.0005871146096779221,0.0,0.0,0.0,0.0,0.0,0.26020796233225363,0.0009692933796082788,0.0,0.0,0.0,0.0009692933796082788,3.6120743781909883e-06,2.5146219816809747,0.0,-0.19516300006180054,0.0,0.004521408440092287,0.0,0.0,0.1337825160335585,0.0,0.003364260718990644
1000,4507447918067712,0,-0.159611887553315,1.7427246452215592,-0.00015152987578883888,-0.07587603065971565,-0.2083021429700597,0.018982906527189477,-0.00018866210132518411,0.0012674821371880752,0.0,0.0,-0.00018866210132518414,4.604712877216019e-06,-3.813092868059342e-05,0.0,0.0,0.001267482137188075,-3.8130928680593434e-05,0.00033211042791198844,0.0,0.0,0.0,0.0,0.0,0.3601645012526461,0.0009622529520757656,0.0,0.0,0.0,0.0009622529520757654,2.5715684292335776e-06,2.4521289572565235,0.0,-0.09702815689158956,0.0,0.0030282937893632567,0.0,0.0,-0.016758279264164854,0.0,0.0028325300456671643
1000,4507447918067712,0,-0.15809043629357336,1.7426734837819704,-0.00014784188822257504,-0.07587603065971565,-0.2083021429700597,0.0199124673294367,-0.00018629440604015624,0.0009831240717838063,0.0,0.0,-0.0001862944060401562,4.625100304010887e-06,-2.8569391792844204e-05,0.0,0.0,0.0009831240717838065,-2.8569391792844204e-05,0.0001832226319109023,0.0,0.0,0.0,0.0,0.0,0.4518257281591513,0.0008713591580233917,0.0,0.0,0.0,0.0008713591580233917,1.680813349966535e-06,1.7456220247384626,0.0,-0.058702761733543773,0.0,0.0021156828325376202,0.0,0.0,-0.21482771511907583,0.0,0.002443255947124741
1000,4507447918067712,0,-0.15723748483889008,1.7426475818290392,-0.00014516720882545698,-0.07587603065971565,-0.2083021429700597,0.02087313485074355,-0.00018510057369621645,0.0007777431150968796,0.0,0.0,-0.00018510057369621643,4.688849815194166e-06,-2.2332981265759155e-05,0.0,0.0,0.0007777431150968795,-2.233298126575915e-05,0.00010972321308471085,0.0,0.0,0.0,0.0,0.0,0.5406579800451115,0.0007871819537153344,0.0,0.0,0.0,0.0007871819537153344,1.1463253893890312e-06,0.9937955193511503,0.0,-0.03018090011162849,0.0,0.001558182703233983,0.0,0.0,-0.2392716393130211,0.0,0.0018817706588845169
1000,4507447918067712,0,-0.15696802399772455,1.7426399307666351,-0.00014392002719272072,-0.07587603065971565,-0.2083021429700597,0.021855713543762874,-0.00018460616237562838,0.0006434910345428699,0.0,0.0,-0.00018460616237562832,4.774812763255978e-06,-1.8521321834259625e-05,0.0,0.0,0.0006434910345428697,-1.8521321834259625e-05,7.385390545671716e-05,0.0,0.0,0.0,0.0,0.0,0.6381662930280566,0.0007578069850039255,0.0,0.0,0.0,0.0007578069850039256,9.000183368218171e-07,0.5341380357524756,0.0,-0.01516750883051957,0.0,0.0012361481938447372,0.0,0.0,-0.11194938905662515,0.0,0.001377057994521176
1000,4507447918067712,0,-0.15670256625969273,1.7426324431263776,-0.0001424891274830423,-0.07587603065971565,-0.2083021429700597,0.02284300580105893,-0.0001842480113755856,0.0005294766247724351,0.0,0.0,-0.0001842480113755855,4.864711944929201e-06,-1.530572382935616e-05,0.0,0.0,0.0005294766247724348,-1.530572382935616e-05,4.938016932466979e-05,0.0,0.0,0.0,0.0,0.0,0.722072306067403,0.0006821720095488421,0.0,0.0,0.0,0.000682172009548842,6.44565736662708e-07,0.3666931137382418,0.0,-0.010344056406316273,0.0,0.0009883344852358537,0.0,0.0,-0.25149675124198945,0.0,0.0012332126874698634
1000,4507516637544448,1,0.003944272588540798,2.030844115058031,0.00028175408958266285,-0.07469133048608945,-0.24596192840267864,0.04,0.0,0.0,0.0,0.0,0.0,6.7e-06,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,7e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000,4507516637544448,0,0.31155786316775885,2.0215273585983655,0.00028175408958266285,-0.08083459974660556,-0.24596192840267864,0.04,0.0,0.0,0.0,0.0,0.0,6.7e-06,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,7e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000,4507516637544448,0,0.4155773360244836,2.022778142386803,0.0003321793979379801,-0.08083459974660556,-0.24596192840267864,0.028019944242399522,-0.00015612288049442988,-0.010488445407970164,0.0,0.0,-0.00015612288049442988,4.922764804285405e-06,-0.00012614515882461528,0.0,0.0,-0.010488445407970164,-0.00012614515882461528,0.012542361139120595,0.0,0.0,0.0,0.0,0.0,0.040864523213860866,0.0005300944563794845,0.0,0.0,0.0,0.0005300944563794845,6.89325082930752e-06,22.955117475548523,0.0,0.2760639993697934,0.0,0.0055624250477420735,0.0,0.0,0.9708110548472423,0.0,0.00040154551710791986
1000,4507516637544448,0,0.3685386630315407,2.0226532504219934,0.00035870720130792795,-0.08083459974660556,-0.24596192840267864,0.01655129145328125,-0.00018922563386662982,0.0012259390946361983,0.0,0.0,-0.00018922563386662982,4.934868027950496e-06,-9.51024849466118e-05,0.0,0.0,0.0012259390946361976,-9.51024849466118e-05,0.002541370098257283,0.0,0.0,0.0,0.0,0.0,0.09222171657085014,0.0007457544941846773,0.0,0.0,0.0,0.0007457544941846773,6.037112499390244e-06,-45.432020801069655,0.0,-0.12063724567252108,0.0,0.012811282312787796,0.0,0.0,0.6454921386732454,0.0,0.0030349501639643527
1000,4507516637544448,0,0.37609767411648803,2.022958782742898,0.000340864280742118,-0.08083459974660237,-0.2459619284026786,0.017401175553217206,-0.0001952871948421442,0.0018162570650405456,0.0,0.0,-0.0001952871948421442,4.789836742589684e-06,-7.129862874185427e-05,0.0,0.0,0.0018162570650405458,-7.12986287418543e-05,0.0012236872415830782,0.0,0.0,0.0,0.0,0.0,0.16700470260801706,0.0009143853813222474,0.0,0.0,0.0,0.0009143853813222474,5.0094462285654794e-06,-6.205363214328106,0.0,-0.2508100239982493,0.0,0.007322056763481537,0.0,0.0,0.44988044535128424,0.0,0.003190436735237316
1000,4507516637544448,0,0.37197345188682734,2.023308868551106,0.00032433344975087234,-0.08083459974660237,-0.2459619284026786,0.018364420375007382,-0.0001921895362360284,0.0015731490049008677,0.0,0.0,-0.0001921895362360284,4.627019976350922e-06,-5.064731917028724e-05,0.0,0.0,0.0015731490049008675,-5.0647319170287244e-05,0.0005981017157828425,0.0,0.0,0.0,0.0,0.0,0.26434095256291146,0.0009774630249595974,0.0,0.0,0.0,0.0009774630249595976,3.615766619192504e-06,2.273324208195191,0.0,-0.19304991656208176,0.0,0.004556587978939778,0.0,0.0,0.134977116636616,0.0,0.0033896253008218577
1000,4507516637544448,0,0.3671692239087505,2.0235051874905383,0.00031254838455377647,-0.08083459974660237,-0.2459619284026786,0.019288224575981252,-0.00018908413484208678,0.001263060880404069,0.0,0.0,-0.00018908413484208675,4.60016925136311e-06,-3.797739925616537e-05,0.0,0.0,0.0012630608804040688,-3.797739925616538e-05,0.00032980187657594254,0.0,0.0,0.0,0.0,0.0,0.364097333631833,0.0009604991169298302,0.0,0.0,0.0,0.0009604991169298304,2.534519437914799e-06,2.4678710196765277,0.0,-0.10087531615462884,0.0,0.0030269449925643416,0.0,0.0,-0.03935106478585827,0.0,0.0029059017009320028
1000,4507516637544448,0,0.36362888648718356,2.0236250408993626,0.00030391353993515757,-0.08083459974660237,-0.2459619284026786,0.020218484215270453,-0.00018672822459298052,0.0009806588984798306,0.0,0.0,-0.00018672822459298046,4.6204409052982025e-06,-2.8419497487046052e-05,0.0,0.0,0.0009806588984798304,-2.8419497487046052e-05,0.00018146507235033998,0.0,0.0,0.0,0.0,0.0,0.453593728272689,0.0008573058255892772,0.0,0.0,0.0,0.0008573058255892773,1.620690851102391e-06,1.725264825272443,0.0,-0.05842263264177618,0.0,0.00210397474217211,0.0,0.0,-0.23805920467660546,0.0,0.002480319351499524
1000,4507516637544448,0,0.36177900505791666,2.0236813134453877,0.000298050547673963,-0.08083459974660237,-0.2459619284026786,0.021179896224192977,-0.0001855573672680703,0.0007777310052643389,0.0,0.0,-0.00018555736726807027,4.684839448752159e-06,-2.2248684556795348e-05,0.0,0.0,0.0007777310052643385,-2.2248684556795345e-05,0.00010897108200224695,0.0,0.0,0.0,0.0,0.0,0.5410156231365777,0.0007683359310650048,0.0,0.0,0.0,0.0007683359310650045,1.0913717250494126e-06,0.9788614920322634,0.0,-0.029785977756567567,0.0,0.001551305706100281,0.0,0.0,-0.2510744143251168,0.0,0.0018833883011528467
